Nome do alimento,Fonte,Kcal,Proteina,Hidratos,Gordura
"costeleta de vitela frita, sem molho",INSA,"159,00 Kcal","24,30 g","0,00 g","6,90 g"
"frango inteiro com pele, cozido",INSA,"204,00 Kcal","26,10 g","0,00 g","11,10 g"
"frango inteiro com pele, estufado com margarina",INSA,"221,00 Kcal","19,10 g","1,80 g","15,10 g"
"frango inteiro com pele, estufado com azeite e margarina",INSA,"224,00 Kcal","19,10 g","1,80 g","15,40 g"
"frango inteiro com pele, estufado sem molho",INSA,"233,00 Kcal","28,80 g","0,00 g","13,10 g"
"frango inteiro com pele, grelhado",INSA,"239,00 Kcal","27,60 g","0,00 g","14,30 g"
"frango inteiro com pele, assado sem molho",INSA,"239,00 Kcal","27,60 g","0,00 g","14,30 g"
"frango inteiro sem pele, cozido",INSA,"169,00 Kcal","32,80 g","0,00 g","4,20 g"
"frango inteiro sem pele, estufado com margarina",INSA,"126,00 Kcal","21,00 g","1,70 g","3,80 g"
"frango inteiro sem pele, estufado com azeite e margarina",INSA,"129,00 Kcal","21,00 g","1,70 g","4,10 g"
"frango inteiro sem pele, estufado sem molho",INSA,"185,00 Kcal","33,20 g","0,00 g","5,80 g"
"frango inteiro sem pele, grelhado",INSA,"168,00 Kcal","31,00 g","0,00 g","4,90 g"
"frango (1/4) peito e asa com pele, cozidos",INSA,"202,00 Kcal","27,20 g","0,00 g","10,30 g"
"frango (1/4) peito e asa com pele, estufados com margarina",INSA,"201,00 Kcal","18,50 g","1,70 g","13,20 g"
"frango (1/4) peito e asa com pele, estufados com azeite e margarina",INSA,"204,00 Kcal","18,50 g","1,70 g","13,50 g"
"frango (1/4) peito e asa com pele, estufados sem molho",INSA,"223,00 Kcal","29,20 g","0,00 g","11,80 g"
"frango (1/4) peito e asa com pele, grelhados",INSA,"235,00 Kcal","28,70 g","0,00 g","13,40 g"
"frango (1/4) perna com costa e pele, cozida",INSA,"197,00 Kcal","25,50 g","0,00 g","10,60 g"
"frango (1/4) perna com costa e pele, estufada com azeite e margarina",INSA,"203,00 Kcal","17,30 g","1,70 g","13,80 g"
"frango (1/4) perna com costa e pele, estufada com margarina",INSA,"200,00 Kcal","17,30 g","1,70 g","13,50 g"
"frango (1/4) perna com costa e pele, estufada sem molho",INSA,"215,00 Kcal","26,90 g","0,00 g","11,90 g"
"frango (1/4), perna com costa e pele, grelhada",INSA,"231,00 Kcal","26,90 g","0,00 g","13,70 g"
"frango (1/4) perna com costa e pele, assada sem molho",INSA,"231,00 Kcal","26,90 g","0,00 g","13,70 g"
"perna de frango sem pele, cozida",INSA,"147,00 Kcal","31,50 g","0,00 g","2,30 g"
"perna de frango sem pele, estufada com margarina",INSA,"121,00 Kcal","19,10 g","1,60 g","4,10 g"
"perna de frango sem pele, estufada com azeite e margarina",INSA,"124,00 Kcal","19,10 g","1,60 g","4,40 g"
"perna de frango sem pele, estufada sem molho",INSA,"180,00 Kcal","32,90 g","0,00 g","5,40 g"
"peito de frango com pele, cozido",INSA,"194,00 Kcal","32,10 g","0,00 g","7,30 g"
"peito de frango com pele, estufado com margarina",INSA,"187,00 Kcal","22,10 g","1,70 g","10,00 g"
"peito de frango com pele, estufado com azeite e margarina",INSA,"189,00 Kcal","22,10 g","1,70 g","10,30 g"
"peito de frango com pele, estufado sem molho",INSA,"212,00 Kcal","34,40 g","0,00 g","8,30 g"
