Calculadora Calorias,,,,,,Calculadora Almoços,,,,,,,,,,,,,,,,,,,,,,,,SOPA,,,,
Nome do alimento,Kcal,Proteina,Hidratos,Gordura,,Proteina 1/2,Kcal,Proteina,Hidratos,Gordura,,Hidratos,Kcal,Proteina,Hidratos,Gordura,,Legumes,Kcal,Proteina,Hidratos,Gordura,,Outro,Kcal,Proteina,Hidratos,Gordura,,Nome do alimento,Kcal,Proteina,Hidratos,Gordura
manteiga de amendoim way up (g),"624,00 Kcal","28,00 Kcal","11,00 Kcal","50,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manteiga magra continente (g),"379,00 Kcal","3,20 Kcal","0,90 Kcal","40,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manteiga magra Lidl (g),"371,00 Kcal","2,80 Kcal","1,40 Kcal","39,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manteiga magra mimosa (g),"379,00 Kcal","0,24 Kcal","3,30 Kcal","41,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmelada continente (g),"267,00 Kcal","0,20 Kcal","65,00 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmelada lidl (g),"285,00 Kcal","0,40 Kcal","69,00 Kcal","0,10 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mars (un.),"222,00 Kcal","2,25 Kcal","35,00 Kcal","8,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mel continente (g),"334,00 Kcal","0,50 Kcal","82,20 Kcal","0,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melancia (g),"26,00 Kcal","0,40 Kcal","5,50 Kcal","0,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melao (g),"30,00 Kcal","0,60 Kcal","5,70 Kcal","0,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milho para pipocas solibom (g),"358,00 Kcal","9,80 Kcal","70,00 Kcal","3,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miolo de caju continente (g),"595,00 Kcal","18,00 Kcal","30,00 Kcal","44,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mix lanches essenciais continente (g),"683,00 Kcal","17,00 Kcal","17,00 Kcal","59,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morango (g),"34,00 Kcal","0,60 Kcal","5,30 Kcal","0,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestum de arroz (g),"377,00 Kcal","7,00 Kcal","82,00 Kcal","0,80 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestum normal (g),"390,00 Kcal","9,00 Kcal","80,00 Kcal","1,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestum pro morango (g),"392,00 Kcal","25,00 Kcal","62,00 Kcal","3,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutella (g),"539,00 Kcal","6,30 Kcal","57,50 Kcal","30,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovo (g),"143,00 Kcal","12,60 Kcal","0,50 Kcal","10,10 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pao BIO integral Lidl (g),"186,00 Kcal","4,20 Kcal","34,60 Kcal","1,20 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pao de forma 15 cereais lidl (g),"306,00 Kcal","12,20 Kcal","47,70 Kcal","7,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pao de forma integra sem côdea continente (g),"217,00 Kcal","8,70 Kcal","35,80 Kcal","3,00 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pao de forma integral continente (g),"210,00 Kcal","9,50 Kcal","33,00 Kcal","2,80 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pao de forma integral Lidl (g),"243,00 Kcal","9,40 Kcal","42,00 Kcal","2,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pao de forma integral Mercadona(g),"238,00 Kcal","11,00 Kcal","37,00 Kcal","3,50 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pera (g),"47,00 Kcal","0,30 Kcal","9,40 Kcal","0,40 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pêssego (g),"44,00 Kcal","0,60 Kcal","8,10 Kcal","0,30 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piripiri Mercadona (g),"14,00 Kcal","0,60 Kcal","0,70 Kcal","0,70 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizza (un.),"850,00 Kcal","36,80 Kcal","89,20 Kcal","32,90 Kcal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
